Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME ,Budget
Airedale NHS Foundation Trust,3472,0.987327189,1,2011,4,2,-1,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,3592,0.991091314,2,2011,7,4,2,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4500,0.984,3,2011,9,5,2,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4508,0.98136646,4,2011,15,10,5,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4248,0.993408663,5,2011,13,10,6,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4204,0.983824929,6,2011,16,12,7,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4388,0.983591613,7,2011,17,13,9,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4140,0.988405797,8,2011,17,13,10,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4284,0.989729225,9,2011,16,13,10,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4200,0.879393285,10,2011,13,11,8,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,4008,0.977045908,11,2011,10,8,6,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
Airedale NHS Foundation Trust,3712,0.97737069,12,2011,6,4,2,14811,668,753,810,768,627,752,810,799,801,912,1125,1193,1087,962,1013,730,568,481,463,124824000
