Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME ,Budget
Leeds Teaching Hospitals NHS Trust,,0.93,11,2010,6,4,2,745770,42978,45491,44261,47505,64732,55656,55656,51980,47483,45089,46655,44261,37377,30949,31650,22037,16160,15795,120266,504468000
Leeds Teaching Hospitals NHS Trust,3405,0.944787078,12,2010,0,-2,-4,745770,42978,45491,44261,47505,64732,55656,55656,51980,47483,45089,46655,44261,37377,30949,31650,22037,16160,15795,120266,504468000
Leeds Teaching Hospitals NHS Trust,3819,0.977481016,1,2011,5,2,0,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3767,0.978232015,2,2011,8,5,2,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,4040,0.938118812,3,2011,10,6,2,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3860,0.944300518,4,2011,16,10,5,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3892,0.911870504,5,2011,15,11,7,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3775,0.982516556,6,2011,17,13,8,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3589,0.96405684,7,2011,18,14,10,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3418,0.964014043,8,2011,18,14,10,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,4041,0.892848305,9,2011,17,13,10,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,,0.879393285,10,2011,14,11,8,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3893,0.963010532,11,2011,11,8,6,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3338,0.970341522,12,2011,7,5,2,749640,43201,45728,44491,47752,65068,55945,55945,52249,47729,45323,46897,44491,37571,31110,31814,22151,16244,15877,120482,504468000
Leeds Teaching Hospitals NHS Trust,3791,0.959641256,1,2012,7,4,1,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,4025,0.951304348,2,2012,6,3,0,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,,0.879393285,3,2012,12,7,3,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3557,0.948271015,4,2012,9,6,2,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,4096,0.938232422,5,2012,14,10,5,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3766,0.96574615,6,2012,15,12,8,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3817,0.968299712,7,2012,17,14,10,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3643,0.960746637,8,2012,19,15,11,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3790,0.952242744,9,2012,16,12,8,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3788,0.947993664,10,2012,12,8,5,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3935,0.937229987,11,2012,8,5,3,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3701,0.843285598,12,2012,5,3,1,754120,43459,46001,44757,48037,65457,56279,56279,52562,48014,45594,47177,44757,37796,31295,32004,22284,16341,15972,120733,595495000
Leeds Teaching Hospitals NHS Trust,3636,0.922442244,1,2013,4,2,0,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3759,0.91141261,2,2013,5,2,-1,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3842,0.867777199,3,2013,5,1,-2,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3956,0.918857432,4,2013,10,6,2,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3697,0.959156072,5,2013,14,10,5,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3678,0.973626971,6,2013,18,13,8,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3776,0.973516949,7,2013,23,18,12,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3720,0.983870968,8,2013,20,16,12,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,4032,0.971230159,9,2013,17,12,9,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,4008,0.960578842,10,2013,14,11,8,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3782,0.97858276,11,2013,8,5,2,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3357,0.980935359,12,2013,8,5,2,759219,43753,46312,45059,48362,65900,56660,56660,52917,48339,45902,47496,45059,38052,31507,32221,22434,16452,16080,121019,686522000
Leeds Teaching Hospitals NHS Trust,3667,0.971638942,1,2014,6,4,2,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,4115,0.925880923,2,2014,7,4,2,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3864,0.964544513,3,2014,11,6,3,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3980,0.935427136,4,2014,14,9,5,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,4038,0.954432888,5,2014,15,11,7,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3979,0.949484795,6,2014,18,14,9,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3933,0.962623951,7,2014,21,17,11,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3706,0.945493794,8,2014,18,14,10,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,4091,0.939134686,9,2014,18,14,10,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3950,0.955949367,10,2014,14,11,8,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3945,0.940937896,11,2014,11,7,5,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3429,0.897929425,12,2014,6,4,2,763150,43980,46552,45292,48612,66241,56953,56953,53191,48589,46140,47742,45292,38249,31670,32388,22551,16537,16163,121239,777549000
Leeds Teaching Hospitals NHS Trust,3434,0.942341293,1,2015,7,3,1,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,3707,0.956568654,2,2015,6,3,1,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,3887,0.976074093,3,2015,9,6,2,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,16715,0.951779838,6,2015,17,13,8,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,16662,0.956667867,7,2015,19,15,10,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,16574,0.956980813,8,2015,20,15,11,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,16676,0.944351163,9,2015,16,12,8,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,17553,0.930838033,10,2015,14,10,7,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,17615,0.914277604,11,2015,12,9,6,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,16668,0.89812815,12,2015,10,8,6,769294,44334,46926,45657,49004,66774,57412,57412,53619,48980,46511,48127,45657,38557,31925,32648,22732,16670,16293,121583,868576000
Leeds Teaching Hospitals NHS Trust,17307,0.866296874,1,2016,7,5,3,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17005,0.887621288,2,2016,7,4,2,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,18732,0.85740978,3,2016,9,4,2,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,16500,0.891393939,4,2016,10,6,3,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,18873,0.891909076,5,2016,15,11,6,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17545,0.857110288,6,2016,17,14,9,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,18514,0.851895863,7,2016,19,15,11,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17006,0.905033518,8,2016,19,16,12,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17863,0.886693165,9,2016,19,15,11,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,18780,0.839616613,10,2016,13,10,7,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17848,0.791517257,11,2016,8,5,3,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17763,0.759331194,12,2016,8,6,4,777117,44785,47404,46121,49502,67453,57996,57996,54165,49479,46984,48616,46121,38949,32250,32980,22963,16840,16459,122021,959603000
Leeds Teaching Hospitals NHS Trust,17366,0.797996084,1,2017,6,4,1,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,15978,0.822881462,2,2017,8,5,3,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,18152,0.898413398,3,2017,11,7,4,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,17276,0.906344061,4,2017,12,8,4,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,18560,0.867133621,5,2017,16,12,7,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16700,0.903353293,6,2017,18,15,11,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,17448,0.854768455,7,2017,19,15,11,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16616,0.858810785,8,2017,19,15,12,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16952,0.845563945,9,2017,16,13,10,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,17934,0.833389093,10,2017,15,12,10,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16997,0.782785197,11,2017,9,7,5,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16757,0.699647908,12,2017,7,5,3,782935,45120,47759,46467,49872,67958,58430,58430,54570,49849,47336,48980,46467,39240,32491,33227,23135,16966,16582,122347,1050630000
Leeds Teaching Hospitals NHS Trust,16080,0.663432836,1,2018,7,5,3,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,14899,0.656218538,2,2018,5,3,0,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16643,0.647539506,3,2018,7,4,1,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16021,0.812328696,4,2018,12,9,6,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,17750,0.902056402,5,2018,18,13,8,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16795,0.900428266,6,2018,20,15,11,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,17889,0.83884392,7,2018,23,18,13,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16021,0.875360379,8,2018,20,16,13,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16525,0.856258052,9,2018,17,13,10,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,17884,0.828560923,10,2018,14,10,7,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,17084,0.834872194,11,2018,10,8,6,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,16862,0.796602702,12,2018,8,6,4,788325,45431,48087,46787,50216,68426,58832,58832,54946,50192,47662,49317,46787,39510,32715,33456,23295,17083,16696,122649,1232685000
Leeds Teaching Hospitals NHS Trust,17316,0.795371382,1,2019,6,4,2,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,15726,0.820411351,2,2019,10,7,4,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,17435,0.893933703,3,2019,11,7,5,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,16685,0.858705162,4,2019,13,8,4,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,17544,0.870813027,5,2019,15,11,7,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,16958,0.882255457,6,2019,17,13,10,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,18320,0.879615428,7,2019,21,17,13,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,16875,0.882143435,8,2019,20,17,13,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,17479,0.860219627,9,2019,17,14,10,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,18416,0.837899871,10,2019,12,9,7,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,17943,0.811248387,11,2019,8,6,4,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,17347,0.793054412,12,2019,7,5,4,792525,45673,48344,47036,50483,68791,59146,59146,55238,50460,47916,49580,47036,39721,32889,33634,23419,17174,16785,122884,1414740000
Leeds Teaching Hospitals NHS Trust,16665,0.843299373,1,2020,8,6,4,802262,46234,48937,47614,51104,69636,59872,59872,55917,51080,48504,50189,47614,40209,33293,34047,23706,17385,16991,123429,1596795000
Leeds Teaching Hospitals NHS Trust,16107,0.829989011,2,2020,8,6,3,802262,46234,48937,47614,51104,69636,59872,59872,55917,51080,48504,50189,47614,40209,33293,34047,23706,17385,16991,123429,1596795000
