Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E >4 hour,Type 2 Departments - Single Specialty >4 hour,Type 3 Departments - Other A&E/Minor Injury Unit >4 hour,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Other Emergency admissions (i.e not via A&E),Number of patients spending >4 hours but <12 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,Month,Year
Salisbury NHS Foundation Trust,717,0,0,717,21,0,0,0.971,0.971,237,0,0,168,3,0,11,2010
Salisbury NHS Foundation Trust,663,0,0,663,25,0,0,0.962292609,0.962292609,278,0,0,153,5,0,12,2010
Salisbury NHS Foundation Trust,695,0,0,695,14,0,0,0.979856115,0.979856115,204,0,0,185,2,0,1,2011
Salisbury NHS Foundation Trust,723,0,0,723,11,0,0,0.984785615,0.984785615,233,0,0,148,3,0,2,2011
Salisbury NHS Foundation Trust,827,0,0,827,11,0,0,0.986698912,0.986698912,239,0,0,152,3,0,3,2011
Salisbury NHS Foundation Trust,841,0,0,841,9,0,0,0.989298454,0.989298454,230,0,0,129,0,0,4,2011
Salisbury NHS Foundation Trust,815,0,0,815,16,0,0,0.980368098,0.980368098,224,0,0,146,4,0,5,2011
Salisbury NHS Foundation Trust,800,0,0,800,24,0,0,0.97,0.97,227,0,0,158,4,0,6,2011
Salisbury NHS Foundation Trust,819,0,0,819,25,0,0,0.969474969,0.969474969,206,0,0,159,4,0,7,2011
Salisbury NHS Foundation Trust,755,0,0,755,8,0,0,0.989403974,0.989403974,216,0,0,154,3,0,8,2011
Salisbury NHS Foundation Trust,808,0,0,808,8,0,0,0.99009901,0.99009901,204,0,0,178,1,0,9,2011
Salisbury NHS Foundation Trust,807,0,0,807,8,0,0,0.879393285,0.939194789,254,0,0,184,1,0,10,2011
