Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME %,Non UK Born,Budget
Barts Health NHS Trust,6199,0.940635586,4,2012,12,7,3,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,7122,0.934709351,5,2012,16,12,8,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6651,0.936550895,6,2012,17,14,10,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6097,0.960964409,7,2012,20,16,12,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6146,0.93931012,8,2012,22,17,13,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6333,0.922943313,9,2012,18,14,9,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,5975,0.945271967,10,2012,13,10,7,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6272,0.956313776,11,2012,10,7,4,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,5805,0.956072351,12,2012,7,5,3,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,981834,1060000000
Barts Health NHS Trust,6166,0.947453779,1,2013,5,3,1,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5814,0.899896801,2,2013,5,3,0,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,6018,0.925722832,3,2013,6,3,0,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,6043,0.902035413,4,2013,12,7,3,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5735,0.973496077,5,2013,15,11,6,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5953,0.959852175,6,2013,19,14,9,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5804,0.91919366,7,2013,25,19,14,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5424,0.898967552,8,2013,23,18,13,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5840,0.890068493,9,2013,19,14,10,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5786,0.939854822,10,2013,16,13,10,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5631,0.93322678,11,2013,9,6,4,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,4933,0.941009528,12,2013,9,6,4,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,992140,1155000000
Barts Health NHS Trust,5511,0.921792778,1,2014,8,6,3,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5943,0.938078412,2,2014,9,6,3,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5777,0.965033755,3,2014,13,8,4,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5979,0.927747115,4,2014,15,11,6,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,6275,0.918565737,5,2014,17,13,8,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,6127,0.91643545,6,2014,20,16,11,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5769,0.951291385,7,2014,24,19,14,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5305,0.90537229,8,2014,20,16,12,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5986,0.930337454,9,2014,21,16,12,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,6171,0.897909577,10,2014,17,13,10,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,6281,0.843177838,11,2014,11,9,7,2638019,156799,157489,158676,145059,174636,232937,239532,217900,197587,175955,170073,151422,119766,90747,79668,56189,41786,40625,1319009,1002447,1250000000
Barts Health NHS Trust,5212,0.819071374,12,2014,8,5,2,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1002447,1250000000
Barts Health NHS Trust,5589,0.850420469,1,2015,8,5,2,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,5537,0.87809283,2,2015,7,4,1,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,5864,0.828785812,3,2015,10,7,3,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,27291,0.876003078,6,2015,20,15,10,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,26893,0.850741829,7,2015,21,17,13,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,25265,0.878013062,8,2015,21,17,14,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,25851,0.850373293,9,2015,17,14,10,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,27746,0.822064442,10,2015,15,12,9,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,26908,0.819198751,11,2015,13,11,8,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,27194,0.817312642,12,2015,12,11,8,2665141,158411,159108,160308,146550,176432,235331,241994,220140,199619,177764,171821,152979,120997,91680,80487,56767,42215,41043,1332570,1012753,1345000000
Barts Health NHS Trust,27452,0.812144835,1,2016,8,6,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,27209,0.802087545,2,2016,8,6,3,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,29960,0.825500668,3,2016,10,6,3,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,27396,0.813877938,4,2016,12,8,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,29397,0.817464367,5,2016,17,13,9,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,28180,0.814336409,6,2016,19,15,11,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,29016,0.852736421,7,2016,21,17,13,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,27117,0.85658443,8,2016,23,18,14,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,28857,0.865578542,9,2016,21,17,13,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,29209,0.827963984,10,2016,15,11,8,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,28843,0.816315917,11,2016,9,7,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,29522,0.752794526,12,2016,9,7,4,2692263,160023,160728,161939,148042,178227,237726,244457,222380,201650,179573,173570,154535,122228,92613,81306,57345,42645,41460,1346131,1023059,1440000000
Barts Health NHS Trust,28420,0.738705137,1,2017,6,4,1,2719385,161635,162347,163571,149533,180023,240121,246920,224621,203681,181382,175318,156092,123460,93546,82125,57922,43075,41878,1359692,1033366,1535000000
