Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Barts Health NHS Trust,12,7,3,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.940635586,6199
Barts Health NHS Trust,16,12,8,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.934709351,7122
Barts Health NHS Trust,17,14,10,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.936550895,6651
Barts Health NHS Trust,20,16,12,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.960964409,6097
Barts Health NHS Trust,22,17,13,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.93931012,6146
Barts Health NHS Trust,18,14,9,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.922943313,6333
Barts Health NHS Trust,13,10,7,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.945271967,5975
Barts Health NHS Trust,10,7,4,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.956313776,6272
Barts Health NHS Trust,7,5,3,2583775,153574,154251,155414,142076,171045,228147,234606,213419,193524,172337,166575,148308,117303,88881,78030,55034,40926,39790,1291887,1060000000,0.956072351,5805
Barts Health NHS Trust,5,3,1,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.947453779,6166
Barts Health NHS Trust,5,3,0,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.899896801,5814
Barts Health NHS Trust,6,3,0,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.925722832,6018
Barts Health NHS Trust,12,7,3,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.902035413,6043
Barts Health NHS Trust,15,11,6,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.973496077,5735
Barts Health NHS Trust,19,14,9,2610897,155187,155870,157045,143568,172841,230542,237069,215660,195556,174146,168324,149865,118534,89814,78849,55612,41356,40207,1305448,1155000000,0.959852175,5953
