Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BAME,Budget
East Cheshire NHS Trust,3256,0.966,11,2010,7,4,2,368539,18397,20431,21154,18205,16252,20063,22444,22628,22093,24552,28012,28193,23660,20616,22554,16621,11535,11093,20638,116002000
East Cheshire NHS Trust,3304,0.918886199,12,2010,1,-1,-3,368539,18397,20431,21154,18205,16252,20063,22444,22628,22093,24552,28012,28193,23660,20616,22554,16621,11535,11093,20638,116002000
East Cheshire NHS Trust,3332,0.962785114,1,2011,6,3,0,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3144,0.988549618,2,2011,8,6,3,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3820,0.982198953,3,2011,11,6,2,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3944,0.953346856,4,2011,16,11,6,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3616,0.962389381,5,2011,15,11,7,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3724,0.970998926,6,2011,17,13,8,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3792,0.973628692,7,2011,19,14,10,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3584,0.975446429,8,2011,18,15,11,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3864,0.945134576,9,2011,18,14,10,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3752,0.879393285,10,2011,15,12,9,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3472,0.958525346,11,2011,12,9,6,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3232,0.985148515,12,2011,8,5,3,369874,18464,20505,21230,18271,16311,20135,22525,22710,22173,24641,28114,28295,23745,20690,22636,16681,11577,11133,20712,116002000
East Cheshire NHS Trust,3732,0.888531618,1,2012,7,4,2,371551,18547,20598,21327,18354,16385,20227,22627,22813,22274,24752,28241,28423,23853,20784,22738,16756,11629,11183,20806,176835000
East Cheshire NHS Trust,4056,0.881656805,2,2012,7,4,1,371551,18547,20598,21327,18354,16385,20227,22627,22813,22274,24752,28241,28423,23853,20784,22738,16756,11629,11183,20806,176835000
East Cheshire NHS Trust,4044,0.879393285,3,2012,13,8,3,371551,18547,20598,21327,18354,16385,20227,22627,22813,22274,24752,28241,28423,23853,20784,22738,16756,11629,11183,20806,176835000
East Cheshire NHS Trust,3776,0.962923729,4,2012,10,6,2,371551,18547,20598,21327,18354,16385,20227,22627,22813,22274,24752,28241,28423,23853,20784,22738,16756,11629,11183,20806,176835000
