Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (all),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BAME,Budget
Wye Valley NHS Trust,4204,0.97853014,4,2011,16,11,6,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3952,0.930755396,5,2011,15,11,7,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3816,0.957603687,6,2011,17,13,8,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3952,0.965394854,7,2011,19,15,10,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3500,0.982948847,8,2011,18,14,11,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3604,0.983590734,9,2011,18,14,10,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3392,0.939194789,10,2011,15,12,9,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3464,0.925773196,11,2011,11,9,6,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,2952,0.933574879,12,2011,3,8,6,183216,8226,9307,9899,8904,8024,9398,10278,10095,9600,10974,13319,14309,13319,12253,12733,9490,6559,6370,5679,176000000
Wye Valley NHS Trust,3560,0.916411825,1,2012,8,5,2,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3664,0.949185043,2,2012,7,3,0,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3872,0.939194789,3,2012,12,7,3,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3408,0.938155136,4,2012,10,6,2,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,4040,0.963363863,5,2012,15,11,6,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3896,0.91040724,6,2012,16,13,9,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,4032,0.980322004,7,2012,18,14,10,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3596,0.97151277,8,2012,19,15,12,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3616,0.926686217,9,2012,16,12,8,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3464,0.979257642,10,2012,12,9,6,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3404,0.974221267,11,2012,9,6,3,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3472,0.936241611,12,2012,7,4,2,184410,8280,9368,9963,8962,8077,9460,10345,10160,9663,11046,13406,14402,13406,12333,12816,9552,6601,6411,5716,177893000
Wye Valley NHS Trust,3388,0.919821826,1,2013,5,3,1,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3532,0.779787234,2,2013,6,2,-1,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3816,0.799798793,3,2013,6,2,-2,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3816,0.960194175,4,2013,11,6,2,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3860,0.92248062,5,2013,14,9,4,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3924,0.964782206,6,2013,18,13,8,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3988,0.893539581,7,2013,24,18,12,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3784,0.923523717,8,2013,21,16,11,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,4008,0.879484821,9,2013,18,13,9,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3668,0.925888325,10,2013,15,12,9,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3764,0.929911155,11,2013,9,6,3,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3584,0.870967742,12,2013,8,6,3,185803,8342,9438,10038,9030,8138,9531,10423,10237,9736,11129,13507,14511,13507,12426,12913,9624,6651,6460,5759,179786000
Wye Valley NHS Trust,3600,0.947777778,1,2014,8,5,3,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3892,0.880654475,2,2014,8,5,3,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3976,0.969782814,3,2014,11,7,2,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3864,0.85152409,4,2014,13,9,4,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,4160,0.768269231,5,2014,16,11,7,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,4364,0.853411963,6,2014,19,15,10,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3976,0.871177016,7,2014,22,17,11,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,4068,0.800371402,8,2014,19,14,10,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3996,0.939814815,9,2014,19,14,10,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3756,0.938174681,10,2014,15,12,9,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3836,0.852272727,11,2014,10,8,5,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3984,0.749757517,12,2014,8,5,2,187087,8400,9504,10108,9092,8194,9597,10495,10308,9803,11206,13601,14611,13601,12512,13002,9691,6697,6505,5799,181679000
Wye Valley NHS Trust,3520,0.926751592,1,2015,8,4,2,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,3428,0.82526178,2,2015,7,4,1,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,3660,0.944584383,3,2015,10,6,2,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4527,0.907547898,6,2015,18,14,8,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4670,0.901853035,7,2015,19,15,10,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4655,0.892087277,8,2015,19,15,11,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4588,0.871158392,9,2015,16,12,8,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4480,0.882299151,10,2015,14,10,7,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4447,0.89012987,11,2015,12,10,7,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4293,0.898644202,12,2015,11,9,7,188142,8447,9557,10165,9143,8240,9651,10554,10366,9858,11269,13677,14693,13677,12582,13075,9745,6735,6541,5832,183572000
Wye Valley NHS Trust,4393,0.878507112,1,2016,8,6,3,189039,8487,9603,10213,9187,8279,9697,10605,10416,9905,11323,13743,14763,13743,12642,13138,9792,6767,6572,5860,185465000
Wye Valley NHS Trust,4272,0.88469238,2,2016,8,5,2,189039,8487,9603,10213,9187,8279,9697,10605,10416,9905,11323,13743,14763,13743,12642,13138,9792,6767,6572,5860,185465000
Wye Valley NHS Trust,4820,0.843061866,3,2016,9,5,1,189039,8487,9603,10213,9187,8279,9697,10605,10416,9905,11323,13743,14763,13743,12642,13138,9792,6767,6572,5860,185465000
Wye Valley NHS Trust,4299,0.904316451,4,2016,11,7,2,189039,8487,9603,10213,9187,8279,9697,10605,10416,9905,11323,13743,14763,13743,12642,13138,9792,6767,6572,5860,185465000
Wye Valley NHS Trust,4957,0.902377106,5,2016,16,11,6,189039,8487,9603,10213,9187,8279,9697,10605,10416,9905,11323,13743,14763,13743,12642,13138,9792,6767,6572,5860,185465000
